Competency Code,Domain #,Domain Name,Skill Area Code,Skill Area Name,Competency Title,Proficiency Level,Knowledge,Application,Indicator 1,Indicator 2,Indicator 3,Indicator 4,Indicator 5,Indicator 6
1.4.3,1,Ecological & Scientific Knowledge,1.4,WILDLIFE & FISHERIES BIOLOGY,Species identification and classification Accurately identifying different animals and understanding how they are related taxonomically.,INTERMEDIATE,Expert in regional fauna; understands functional morphology and taxonomy,Identifies diverse species including difficult taxa,Identifies most regional species including challenging groups,Uses morphological keys for difficult identifications,"Identifies species from signs (tracks, scat, calls, nests)",Verifies identifications using multiple characteristics,Understands subspecies and geographic variation,Uses bioacoustics for species identification
1.4.3,1,Ecological & Scientific Knowledge,1.4,WILDLIFE & FISHERIES BIOLOGY,Species identification and classification Accurately identifying different animals and understanding how they are related taxonomically.,ADVANCED,Taxonomic expert for specific groups; understands evolutionary relationships,Serves as identification authority; resolves difficult identifications,Expert identifier for challenging taxonomic groups,"Uses genetic tools for identification (DNA barcoding, eDNA)",Identifies cryptic species and subspecies,Understands phylogenetic relationships and nomenclatural changes,Discovers or documents range extensions or new species records,Curates museum collections or voucher specimens
1.4.3,1,Ecological & Scientific Knowledge,1.4,WILDLIFE & FISHERIES BIOLOGY,Species identification and classification Accurately identifying different animals and understanding how they are related taxonomically.,EXPERT,Shapes taxonomic understanding of groups,Contributes to taxonomic revisions; influences classification,Describes new species or revises taxonomy,Publishes taxonomic monographs or revisions,"Serves on taxonomic committees (AOU, ASM, etc.)",Influences changes in scientific nomenclature,Maintains authoritative reference collections,Recognized international expert for taxa
1.4.4,1,Ecological & Scientific Knowledge,1.4,WILDLIFE & FISHERIES BIOLOGY,Animal behavior and habitat relationships,FOUNDATIONAL,Understands basic animal behavior concepts and habitat needs,Observes and records animal behavior,"Describes basic behaviors (feeding, nesting, territorial, social)",Records behavioral observations systematically,"Identifies habitat features used by wildlife (cover, food, water)","Recognizes seasonal behavior patterns (migration, breeding, hibernation)",Understands predator-prey interactions,Observes wildlife without causing disturbance
1.4.4,1,Ecological & Scientific Knowledge,1.4,WILDLIFE & FISHERIES BIOLOGY,Animal behavior and habitat relationships,INTERMEDIATE,Applies animal behavior theory; understands resource selection,Analyzes habitat use and behavior patterns,Conducts focal animal sampling and behavioral studies,Uses GPS telemetry to study animal movements,Analyzes habitat selection using GIS and resource selection functions,Identifies limiting resources and habitat bottlenecks,Evaluates habitat quality based on behavioral indicators,Designs habitat improvements based on behavioral needs
1.4.4,1,Ecological & Scientific Knowledge,1.4,WILDLIFE & FISHERIES BIOLOGY,Animal behavior and habitat relationships,ADVANCED,Expert in behavioral ecology and habitat relationships,Leads research on animal behavior and habitat use,Designs comprehensive behavioral ecology studies,"Uses advanced telemetry (GPS, accelerometers, satellite tags)",Models habitat selection at multiple spatial scales,Studies behavioral responses to environmental change,Evaluates habitat connectivity and movement corridors,Integrates behavior into conservation strategies
1.4.4,1,Ecological & Scientific Knowledge,1.4,WILDLIFE & FISHERIES BIOLOGY,Animal behavior and habitat relationships,EXPERT,Shapes understanding of animal behavior and conservation,Leads transformative behavioral ecology programs,Develops innovative approaches to studying behavior,Influences how behavior informs conservation practice,Leads major behavioral ecology research programs,Publishes influential behavioral ecology research,"Integrates behavior, evolution, and conservation",
1.4.5,1,Ecological & Scientific Knowledge,1.4,WILDLIFE & FISHERIES BIOLOGY,"Fisheries management principles Approaches to sustainably managing fish populations in lakes, rivers, and streams for conservation or recreation.",FOUNDATIONAL,Understands basic fisheries concepts and survey methods,Assists with fish sampling and data collection,"Conducts electrofishing, gill netting, or seine sampling",Identifies common fish species,"Measures fish (length, weight) and collects scales/otoliths for aging",Records catch data accurately,Understands basic fish biology and life cycles,Recognizes signs of poor fish health or habitat degradation
1.4.5,1,Ecological & Scientific Knowledge,1.4,WILDLIFE & FISHERIES BIOLOGY,"Fisheries management principles Approaches to sustainably managing fish populations in lakes, rivers, and streams for conservation or recreation.",INTERMEDIATE,Applies fisheries science; understands population dynamics and harvest,Conducts fisheries assessments and develops recommendations,Designs fish population surveys,Analyzes catch data to estimate abundance and size structure,Conducts age and growth analysis,Uses catch curves and mortality estimates,"Develops harvest recommendations (catch limits, slot limits, seasons)",Evaluates stocking programs
1.4.5,1,Ecological & Scientific Knowledge,1.4,WILDLIFE & FISHERIES BIOLOGY,"Fisheries management principles Approaches to sustainably managing fish populations in lakes, rivers, and streams for conservation or recreation.",ADVANCED,Expert in fisheries science and aquatic ecosystem management,Leads comprehensive fisheries management programs,Develops sustainable fisheries management plans,"Uses stock assessment models (surplus production, age-structured)",Implements adaptive management for fisheries,Manages complex multi-species fisheries,Evaluates and restores fish habitat,Designs fish passage and connectivity improvements
1.4.5,1,Ecological & Scientific Knowledge,1.4,WILDLIFE & FISHERIES BIOLOGY,"Fisheries management principles Approaches to sustainably managing fish populations in lakes, rivers, and streams for conservation or recreation.",EXPERT,Shapes fisheries science and management practice,Leads major fisheries programs or policy initiatives,Influences fisheries policy and regulations,Develops innovative fisheries management approaches,Leads ecosystem-based fisheries management initiatives,Publishes influential fisheries research,Provides expert consultation on complex fisheries issues,Advances sustainable fisheries at regional/national level
1.5.1,1,Ecological & Scientific Knowledge,1.5,CLIMATE SCIENCE,Climate data analysis and interpretation,FOUNDATIONAL,"Understands basic climate concepts (weather vs. climate, climate variability, greenhouse effect)",Accesses and interprets basic climate data products,Explains difference between weather and climate,Understands climate normals and how they're calculated,"Accesses data from Climate Data Online, PRISM, or similar sources",Reads and interprets climate graphs and maps,Understands basic concepts of climate models and projections,"Recognizes limitations of climate data (scale, uncertainty)"
1.5.1,1,Ecological & Scientific Knowledge,1.5,CLIMATE SCIENCE,Climate data analysis and interpretation,INTERMEDIATE,Applies climate science to ecological and management questions; understands projection methods,Analyzes climate data and communicates findings to managers,"Uses downscaled climate projections (CMIP, LOCA, MACA)",Selects appropriate climate variables for ecological applications,"Calculates climate metrics relevant to ecosystems (growing degree days, drought indices, fire weather)",Interprets ensemble projections and communicates uncertainty,Compares historical trends to projected changes,Uses climate data in GIS for spatial analysis
